Company,Year Founded,Total Raised,HQ Country,Last Financing Date,Last Financing Deal Type,Last Financing Size,Revenue
3D LifePrints,2013,1.88,United Kingdom,18-Mar-2020,Later Stage VC,1.21,
AMFG,2013,2.15,United Kingdom,01-Jul-2020,Seed Round,1.04,
Gravity Sketch,2014,3.05,United Kingdom,16-Sep-2020,Seed Round,3,
Mayku,2015,5.15,United Kingdom,18-Aug-2020,Early Stage VC,1.16,
MediSieve,2015,6.71,United Kingdom,,Later Stage VC,2.5,
AdaptTech,2013,5.42,United Kingdom,23-Mar-2021,Later Stage VC,2.02,
Carcinotech,2018,0.12,United Kingdom,04-Sep-2020,Seed Round,0.12,
3D Repo,2014,3,United Kingdom,11-May-2020,Grant,1,
Admongrel,2014,0.1,United Kingdom,15-Jan-2020,Seed Round,0.1,
Artificial Artists,2018,0.46,United Kingdom,29-Dec-2020,Seed Round,0.46,
ClickBoost,2018,,United Kingdom,29-Jan-2020,Early Stage VC,,
Dataseat,2018,1.75,United Kingdom,17-Jan-2020,Seed Round,1.75,
Echobox,2013,2.42,United Kingdom,04-NOV-2020,Later Stage VC,,
Phrasee,2015,5.73,United Kingdom,31-Jul-2020,Early Stage VC,1.7,
AudioMob,2019,1.5,United Kingdom,01-Jan-2021,Early Stage VC,,
Admix (Advertising Platform),2015,9.59,United Kingdom,15-Apr-2020,Early Stage VC,6.79,
Adverttu,2015,0.81,United Kingdom,,Early Stage VC,0.26,
Bagboard,2016,2.85,United Kingdom,11-Aug-2020,Early Stage VC,0.55,
Glimpse Protocol,2019,1.43,United Kingdom,25-Jan-2021,Seed Round,1.28,
Moteefe,2014,26.63,United Kingdom,03-Sep-2020,Later Stage VC,8.36,
AdinMo,2017,1.48,United Kingdom,24-May-2021,Angel,0.85,
Real Media Now,2019,0.08,United Kingdom,14-May-2020,Seed Round,,
Curtis Gabriel,2012,0.28,United Kingdom,10-Mar-2020,Later Stage VC,0.2,
Sweet Analytics,2018,0.99,United Kingdom,,Early Stage VC,0.5,
Traktion,2019,0.34,United Kingdom,05-Jun-2020,Early Stage VC,0.22,
Adthena,2012,20.26,United Kingdom,28-Feb-2020,Later Stage VC,13.6,
Allegrow,2018,0.44,United Kingdom,04-May-2020,Early Stage VC,0.4,
Attest (UK),2015,29.67,United Kingdom,31-Jul-2020,Later Stage VC,11.86,
BitPoster,2013,6.8,United Kingdom,Expected      25-NOV-2021,Later Stage VC,14.17,8.58
Bulbshare,2017,1.67,United Kingdom,01-Mar-2020,Angel,1,
Tailify,2013,5.92,United Kingdom,07-Apr-2021,Later Stage VC,3.68,6
Ksubaka,2013,6.92,United Kingdom,24-Jun-2020,Corporate,1.2,
Takumi,2015,7.14,United Kingdom,24-Jul-2020,Early Stage VC,,
Good-Loop,2016,1.61,United Kingdom,14-Jan-2020,Early Stage VC,,
Nozzle (Media and Information Se...,2014,2.44,United Kingdom,18-NOV-2020,Later Stage VC,2.06,
Screach,2009,5.25,United Kingdom,01-May-2021,Later Stage VC,1.44,
A Million Ads,2015,4.12,United Kingdom,01-Jul-2020,Seed Round,1.35,
Fourjaw Manufacturing Analytics,2020,0.42,United Kingdom,01-Mar-2021,Early Stage VC,,
Sorex Sensors,2017,2.13,United Kingdom,30-Apr-2020,Early Stage VC,0.9,
Touchlab,2018,,United Kingdom,01-Dec-2020,Early Stage VC,,
Bubo.Al,2019,0.65,United Kingdom,17-Jun-2020,Seed Round,0.65,
Buildstream,2018,0.39,United Kingdom,,Early Stage VC,,
CloudNC,2015,49.08,United Kingdom,04-Mar-2021,Later Stage VC,25,
Lake Parime,2019,11.27,United Kingdom,,Early Stage VC,,0
Smartia,2018,0.1,United Kingdom,27-Feb-2020,Early Stage VC,0.1,
CroBio,2019,,United Kingdom,16-Jul-2020,Seed Round,,
Mootral,2017,4.18,United Kingdom,,Early Stage VC,,
AgSenze,2016,0.76,United Kingdom,04-Apr-2020,Seed Round,0.31,
Cervest,2015,32.65,United Kingdom,20-May-2021,Later Stage VC,22.1,
Drone Ag,2015,0.3,United Kingdom,01-Jun-2020,Equity Crowdfunding,0.3,
Dynium Robot,2016,0.85,United Kingdom,17-Apr-2020,Seed Round,0.26,
Gardin (England),2020,0.92,United Kingdom,01-Nov-2020,Seed Round,0.92,
Phytoform Labs,2017,,United Kingdom,01-Jan-2020,Early Stage VC,,
Small Robot Company,2017,3.47,United Kingdom,15-Jan-2020,Early Stage VC,2.09,80
Sociate Al,2020,,United Kingdom,27-Aug-2020,Accelerator/Incubator,,
Xihelm,2016,5.03,United Kingdom,01-Sep-2020,Early Stage VC,2.1,
KisanHub,2012,7.35,United Kingdom,18-NOV-2020,Later Stage VC,1.12,
Earth Rover,2017,0.46,United Kingdom,17-Aug-2020,Early Stage VC,0.25,
Growing Underground,2012,1.63,United Kingdom,IO-Jul-2020,Later Stage VC,1,
LettUs Grow,2015,6.32,United Kingdom,09-Jan-2020,Seed Round,2.37,
DryGro,2014,3.06,United Kingdom,20-JUI-2020,Accelerator/Incubator,,
ZELP,2017,1.21,United Kingdom,01-Jun-2021,Early Stage VC,,
Agrolabs (loT),2017,0.39,United Kingdom,,Equity Crowdfunding,0.05,
